ExanteId,ISIN,Ticker
AAC.NYSE,US0003071083,AAC
AAN.NYSE,US0025353006,AAN
AAOI.NASDAQ,US03823U1025,AAOI
AAON.NASDAQ,US0003602069,AAON
AAT.NYSE,US0240131047,AAT
AAWW.NASDAQ,US0491642056,AAWW
AAXN.NASDAQ,US05464C1018,AAXN
ABAX.NASDAQ,US0025671050,ABAX
ABCB.NASDAQ,US03076K1088,ABCB
ABCD.NASDAQ,US13201A1079,ABCD
ABEO.NASDAQ,US00289Y1073,ABEO
ABG.NYSE,US0434361046,ABG
ABM.NYSE,US0009571003,ABM
ABTX.NASDAQ,US01748H1077,ABTX
ACBI.NASDAQ,US0482692037,ACBI
ACCO.NYSE,US00081T1088,ACCO
ACET.NASDAQ,US0044461004,ACET
ACHN.NASDAQ,US00448Q2012,ACHN
ACIA.NASDAQ,US00401C1080,ACIA
ACIW.NASDAQ,US0044981019,ACIW
ACLS.NASDAQ,US0545402085,ACLS
ACNB.NASDAQ,US0008681092,ACNB
ACOR.NASDAQ,US00484M1062,ACOR
ACRE.NYSE,US04013V1089,ACRE
ACRS.NASDAQ,US00461U1051,ACRS
ACTG.NASDAQ,US0038813079,ACTG
ACXM.NASDAQ,US0051251090,ACXM
ADC.NYSE,US0084921008,ADC
ADES.NASDAQ,US00770C1018,ADES
ADMS.NASDAQ,US00548A1060,ADMS
ADRO.NASDAQ,US00739L1017,ADRO
ADSW.NYSE,US00790X1019,ADSW
ADTN.NASDAQ,US00738A1060,ADTN
ADUS.NASDAQ,US0067391062,ADUS
AEGN.NASDAQ,US00770F1049,AEGN
AEIS.NASDAQ,US0079731008,AEIS
AEL.NYSE,US0256762065,AEL
AEO.NYSE,US02553E1064,AEO
AERI.NASDAQ,US00771V1089,AERI
AFH.NASDAQ,KYG062071157,AFH
AFI.NYSE,US04238R1068,AFI
AFSI.NASDAQ,US0323593097,AFSI
AGEN.NASDAQ,US00847G7051,AGEN
AGFS.NASDAQ,US00856G1094,AGFS
AGM.NYSE,US3131483063,AGM
AGX.NYSE,US04010E1091,AGX
AGYS.NASDAQ,US00847J1051,AGYS
AHH.NYSE,US04208T1088,AHH
AHT.NYSE,US0441031095,AHT
AI.NYSE,US0413562051,AI
AIMC.NASDAQ,US02208R1068,AIMC
AIMT.NASDAQ,US00900T1079,AIMT
AIN.NYSE,US0123481089,AIN
AIR.NYSE,US0003611052,AIR
AIT.NYSE,US03820C1053,AIT
AJRD.NYSE,US0078001056,AJRD
AJX.NYSE,US38983D3008,AJX
AKAO.NASDAQ,US0044491043,AKAO
AKBA.NASDAQ,US00972D1054,AKBA
AKR.NYSE,US0042391096,AKR
AKS.NYSE,US0015471081,AKS
AKTS.NASDAQ,US00973N1028,AKTS
ALCO.NASDAQ,US0162301040,ALCO
ALDR.NASDAQ,US0143391052,ALDR
ALE.NYSE,US0185223007,ALE
ALEX.NYSE,US0144911049,ALEX
ALG.NYSE,US0113111076,ALG
ALGT.NASDAQ,US01748X1028,ALGT
ALRM.NASDAQ,US0116421050,ALRM
ALX.NYSE,US0147521092,ALX
AMAG.NASDAQ,US00163U1060,AMAG
AMBA.NASDAQ,KYG037AX1015,AMBA
AMBC.NASDAQ,US0231398845,AMBC
AMBR.NYSE,US02318Y1082,AMBR
AMC.NYSE,US00165C1045,AMC
AMED.NASDAQ,US0234361089,AMED
AMKR.NASDAQ,US0316521006,AMKR
AMN.NYSE,US0017441017,AMN
AMNB.NASDAQ,US0277451086,AMNB
AMOT.NASDAQ,US0193301092,AMOT
AMPH.NASDAQ,US03209R1032,AMPH
AMRC.NYSE,US02361E1082,AMRC
AMSF.NASDAQ,US03071H1005,AMSF
AMSWA.NASDAQ,US0296831094,AMSWA
AMWD.NASDAQ,US0305061097,AMWD
ANAB.NASDAQ,US0327241065,ANAB
ANCX.NASDAQ,US0043371014,ANCX
ANDE.NASDAQ,US0341641035,ANDE
ANF.NYSE,US0028962076,ANF
ANGI.NASDAQ,US00183L1026,ANGI
ANGO.NASDAQ,US03475V1017,ANGO
ANH.NYSE,US0373471012,ANH
ANIK.NASDAQ,US0352551081,ANIK
ANIP.NASDAQ,US00182C1036,ANIP
AOBC.NASDAQ,US02874P1030,AOBC
AOSL.NASDAQ,BMG6331P1041,AOSL
AP.NYSE,US0320371034,AP
APEI.NASDAQ,US02913V1035,APEI
APOG.NASDAQ,US0375981091,APOG
APPF.NASDAQ,US03783C1009,APPF
APTI.NASDAQ,US03835C1080,APTI
APTS.NYSE,US74039L1035,APTS
AQMS.NASDAQ,US03837J1016,AQMS
ARA.NYSE,US0292271055,ARA
ARAY.NASDAQ,US0043971052,ARAY
ARC.NYSE,US00191G1031,ARC
ARCB.NASDAQ,US03937C1053,ARCB
ARCH.NYSE,US0393804077,ARCH
ARDX.NASDAQ,US0396971071,ARDX
AREX.NASDAQ,US03834A1034,AREX
ARI.NYSE,US03762U1051,ARI
ARII.NASDAQ,US02916P1030,ARII
ARNA.NASDAQ,US0400476075,ARNA
AROC.NYSE,US03957W1062,AROC
AROW.NASDAQ,US0427441029,AROW
ARR.NYSE,US0423155078,ARR
ARRY.NASDAQ,US04269X1054,ARRY
ARTNA.NASDAQ,US0431132085,ARTNA
ASC.NYSE,MHY0207T1001,ASC
ASCMA.NASDAQ,US0436321089,ASCMA
ASGN.NYSE,US6821591087,ASGN
ASIX.NYSE,US00773T1016,ASIX
ASMB.NASDAQ,US0453961080,ASMB
ASNA.NASDAQ,US04351G1013,ASNA
ASPS.NASDAQ,LU0445408270,ASPS
ASTE.NASDAQ,US0462241011,ASTE
AT.NYSE,CA04878Q8636,AT
ATEN.NYSE,US0021211018,ATEN
ATGE.NYSE,US00737L1035,ATGE
ATHX.NASDAQ,US04744L1061,ATHX
ATI.NYSE,US01741R1023,ATI
ATKR.NYSE,US0476491081,ATKR
ATLO.NASDAQ,US0310011004,ATLO
ATNI.NASDAQ,US00215F1075,ATNI
ATRA.NASDAQ,US0465131078,ATRA
ATRC.NASDAQ,US04963C2098,ATRC
ATRI.NASDAQ,US0499041053,ATRI
ATRO.NASDAQ,US0464331083,ATRO
ATRS.NASDAQ,US0366421065,ATRS
ATSG.NASDAQ,US00922R1059,ATSG
ATU.NYSE,US00508X2036,ATU
AVA.NYSE,US05379B1070,AVA
AVAV.NASDAQ,US0080731088,AVAV
AVD.NYSE,US0303711081,AVD
AVHI.NASDAQ,US00234P1021,AVHI
AVID.NASDAQ,US05367P1003,AVID
AVX.NYSE,US0024441075,AVX
AVXL.NASDAQ,US0327973006,AVXL
AWR.NYSE,US0298991011,AWR
AXAS.NASDAQ,US0038301067,AXAS
AXDX.NASDAQ,US00430H1023,AXDX
AXE.NYSE,US0352901054,AXE
AXGN.NASDAQ,US05463X1063,AXGN
AXL.NYSE,US0240611030,AXL
AXON.NASDAQ,BMG0750W1047,AXON
AXTI.NASDAQ,US00246W1036,AXTI
AYR.NYSE,BMG0129K1045,AYR
AYX.NYSE,US02156B1035,AYX
AZPN.NASDAQ,US0453271035,AZPN
AZZ.NYSE,US0024741045,AZZ
B.NYSE,US0678061096,B
BABY.NASDAQ,US6390501038,BABY
BANC.NYSE,US05990K1060,BANC
BANF.NASDAQ,US05945F1030,BANF
BANR.NASDAQ,US06652V2088,BANR
BAS.NYSE,US06985P2092,BAS
BATRA.NASDAQ,US5312297063,BATRA
BATRK.NASDAQ,US5312298889,BATRK
BBSI.NASDAQ,US0684631080,BBSI
BBW.NYSE,US1200761047,BBW
BCBP.NASDAQ,US0552981039,BCBP
BCC.NYSE,US09739D1000,BCC
BCEI.NYSE,US0977934001,BCEI
BCO.NYSE,US1096961040,BCO
BCOR.NASDAQ,US0952291005,BCOR
BCOV.NASDAQ,US10921T1016,BCOV
BCPC.NASDAQ,US0576652004,BCPC
BCRH.NYSE,BMG1190F1077,BCRH
BCRX.NASDAQ,US09058V1035,BCRX
BDC.NYSE,US0774541066,BDC
BDGE.NASDAQ,US1080351067,BDGE
BEAT.NASDAQ,US0906721065,BEAT
