ExanteId,ISIN,Ticker
DIS.NYSE,US2546871060,DIS
PEG.NYSE,US7445731067,PEG
NLSN.NYSE,GB00BWFY5505,NLSN
GPC.NYSE,US3724601055,GPC
HBAN.NASDAQ,US4461501045,HBAN
PDCO.NASDAQ,US7033951036,PDCO
A.NYSE,US00846U1016,A
SYMC.NASDAQ,US8715031089,SYMC
MKC.NYSE,US5797802064,MKC
SIG.NYSE,BMG812761002,SIG
MU.NASDAQ,US5951121038,MU
KIM.NYSE,US49446R1095,KIM
TSCO.NASDAQ,US8923561067,TSCO
TXN.NASDAQ,US8825081040,TXN
ZION.NASDAQ,US9897011071,ZION
MSFT.NASDAQ,US5949181045,MSFT
MCO.NYSE,US6153691059,MCO
SHW.NYSE,US8243481061,SHW
LMT.NYSE,US5398301094,LMT
ADBE.NASDAQ,US00724F1012,ADBE
BEN.NYSE,US3546131018,BEN
PSX.NYSE,US7185461040,PSX
STT.NYSE,US8574771031,STT
CELG.NASDAQ,US1510201049,CELG
KORS.NYSE,VGG607541015,KORS
HCP.NYSE,US40414L1098,HCP
COL.NYSE,US7743411016,COL
TMK.NYSE,US8910271043,TMK
PVH.NYSE,US6936561009,PVH
CPB.NYSE,US1344291091,CPB
VRSK.NASDAQ,US92345Y1064,VRSK
FLR.NYSE,US3434121022,FLR
AMZN.NASDAQ,US0231351067,AMZN
ANTM.NYSE,US0367521038,ANTM
AVY.NYSE,US0536111091,AVY
WU.NYSE,US9598021098,WU
KEY.NYSE,US4932671088,KEY
VMC.NYSE,US9291601097,VMC
EOG.NYSE,US26875P1012,EOG
NRG.NYSE,US6293775085,NRG
ALL.NYSE,US0200021014,ALL
NDAQ.NASDAQ,US6311031081,NDAQ
PNW.NYSE,US7234841010,PNW
DE.NYSE,US2441991054,DE
NVDA.NASDAQ,US67066G1040,NVDA
WAT.NYSE,US9418481035,WAT
NBL.NYSE,US6550441058,NBL
OKE.NYSE,US6826801036,OKE
OMC.NYSE,US6819191064,OMC
BMRN.NASDAQ,US09061G1013,BMRN
EMR.NYSE,US2910111044,EMR
KLAC.NASDAQ,US4824801009,KLAC
INTU.NASDAQ,US4612021034,INTU
HES.NYSE,US42809H1077,HES
GWW.NYSE,US3848021040,GWW
CTSH.NASDAQ,US1924461023,CTSH
FISV.NASDAQ,US3377381088,FISV
RF.NYSE,US7591EP1005,RF
CVX.NYSE,US1667641005,CVX
UNP.NYSE,US9078181081,UNP
LRCX.NASDAQ,US5128071082,LRCX
CTAS.NASDAQ,US1729081059,CTAS
PPG.NYSE,US6935061076,PPG
WM.NYSE,US94106L1098,WM
NTAP.NASDAQ,US64110D1046,NTAP
NTRS.NASDAQ,US6658591044,NTRS
MS.NYSE,US6174464486,MS
ABT.NYSE,US0028241000,ABT
SNA.NYSE,US8330341012,SNA
HRS.NYSE,US4138751056,HRS
MAC.NYSE,US5543821012,MAC
URBN.NASDAQ,US9170471026,URBN
CNP.NYSE,US15189T1079,CNP
EA.NASDAQ,US2855121099,EA
COG.NYSE,US1270971039,COG
LEG.NYSE,US5246601075,LEG
BWA.NYSE,US0997241064,BWA
ADM.NYSE,US0394831020,ADM
WRK.NYSE,US96145D1054,WRK
CHK.NYSE,US1651671075,CHK
IBM.NYSE,US4592001014,IBM
SCG.NYSE,US80589M1027,SCG
JD.NASDAQ,US47215P1066,JD
RIG.NYSE,CH0048265513,RIG
PCG.NYSE,US69331C1080,PCG
BLL.NYSE,US0584981064,BLL
AIV.NYSE,US03748R1014,AIV
FFIV.NASDAQ,US3156161024,FFIV
RCL.NYSE,LR0008862868,RCL
FLIR.NASDAQ,US3024451011,FLIR
PG.NYSE,US7427181091,PG
BBBY.NASDAQ,US0758961009,BBBY
PWR.NYSE,US74762E1029,PWR
FOSL.NASDAQ,US34988V1061,FOSL
MNK.NYSE,IE00BBGT3753,MNK
F.NYSE,US3453708600,F
AFL.NYSE,US0010551028,AFL
WMT.NYSE,US9311421039,WMT
FB.NASDAQ,US30303M1027,FB
TGNA.NYSE,US87901J1051,TGNA
SRCL.NASDAQ,US8589121081,SRCL
MCK.NYSE,US58155Q1031,MCK
FMC.NYSE,US3024913036,FMC
CTL.NYSE,US1567001060,CTL
CBS.NYSE,US1248572026,CBS
BAC.NYSE,US0605051046,BAC
BA.NYSE,US0970231058,BA
HP.NYSE,US4234521015,HP
GRMN.NASDAQ,CH0114405324,GRMN
AZO.NYSE,US0533321024,AZO
ISRG.NASDAQ,US46120E6023,ISRG
GME.NYSE,US36467W1099,GME
AGN.NYSE,IE00BY9D5467,AGN
DRI.NYSE,US2371941053,DRI
PFE.NYSE,US7170811035,PFE
EFX.NYSE,US2944291051,EFX
WYNN.NASDAQ,US9831341071,WYNN
TRIP.NASDAQ,US8969452015,TRIP
BIIB.NASDAQ,US09062X1037,BIIB
ADP.NASDAQ,US0530151036,ADP
ABBV.NYSE,US00287Y1091,ABBV
VIAB.NASDAQ,US92553P2011,VIAB
PPL.NYSE,US69351T1060,PPL
SYK.NYSE,US8636671013,SYK
KSU.NYSE,US4851703029,KSU
EXC.NYSE,US30161N1019,EXC
BLK.NYSE,US09247X1019,BLK
MMM.NYSE,US88579Y1010,MMM
SWKS.NASDAQ,US83088M1027,SWKS
ADS.NYSE,US0185811082,ADS
COF.NYSE,US14040H1059,COF
MAT.NASDAQ,US5770811025,MAT
NFLX.NASDAQ,US64110L1061,NFLX
PNR.NYSE,IE00BLS09M33,PNR
VOD.NASDAQ,US92857W3088,VOD
RSG.NYSE,US7607591002,RSG
COST.NASDAQ,US22160K1051,COST
WDC.NASDAQ,US9581021055,WDC
RTN.NYSE,US7551115071,RTN
FE.NYSE,US3379321074,FE
CL.NYSE,US1941621039,CL
TGT.NYSE,US87612E1064,TGT
GT.NASDAQ,US3825501014,GT
DISCA.NASDAQ,US25470F1049,DISCA
FSLR.NASDAQ,US3364331070,FSLR
ORCL.NYSE,US68389X1054,ORCL
NUE.NYSE,US6703461052,NUE
LYB.NYSE,NL0009434992,LYB
ALXN.NASDAQ,US0153511094,ALXN
CMCSA.NASDAQ,US20030N1019,CMCSA
UPS.NYSE,US9113121068,UPS
ADSK.NASDAQ,US0527691069,ADSK
HBI.NYSE,US4103451021,HBI
EXPE.NASDAQ,US30212P3038,EXPE
IVZ.NYSE,BMG491BT1088,IVZ
BF.B.NYSE,US1156372096,BF.B
NI.NYSE,US65473P1057,NI
TIF.NYSE,US8865471085,TIF
DGX.NYSE,US74834L1008,DGX
VNO.NYSE,US9290421091,VNO
NWS.NASDAQ,US65249B2088,NWS
IP.NYSE,US4601461035,IP
CMA.NYSE,US2003401070,CMA
MYL.NASDAQ,NL0011031208,MYL
DG.NYSE,US2566771059,DG
HCA.NYSE,US40412C1018,HCA
MOS.NYSE,US61945C1036,MOS
HRB.NYSE,US0936711052,HRB
LNC.NYSE,US5341871094,LNC
ETN.NYSE,IE00B8KQN827,ETN
VAR.NYSE,US92220P1057,VAR
KHC.NASDAQ,US5007541064,KHC
HAS.NASDAQ,US4180561072,HAS
ALLE.NYSE,IE00BFRT3W74,ALLE
ATVI.NASDAQ,US00507V1098,ATVI
SIRI.NASDAQ,US82968B1035,SIRI
LUV.NYSE,US8447411088,LUV
APD.NYSE,US0091581068,APD
EQIX.NASDAQ,US29444U7000,EQIX
KSS.NYSE,US5002551043,KSS
ESS.NYSE,US2971781057,ESS
BSX.NYSE,US1011371077,BSX
BBY.NYSE,US0865161014,BBY
HAL.NYSE,US4062161017,HAL
LB.NYSE,US5017971046,LB
IR.NYSE,IE00B6330302,IR
AIG.NYSE,US0268747849,AIG
MAR.NASDAQ,US5719032022,MAR
DHI.NYSE,US23331A1097,DHI
PRU.NYSE,US7443201022,PRU
SO.NYSE,US8425871071,SO
LBTYK.NASDAQ,GB00B8W67B19,LBTYK
USB.NYSE,US9029733048,USB
QVCA.NASDAQ,US53071M1045,QVCA
PSA.NYSE,US74460D1090,PSA
PFG.NASDAQ,US74251V1026,PFG
IFF.NYSE,US4595061015,IFF
CCI.NYSE,US22822V1017,CCI
MLM.NYSE,US5732841060,MLM
DO.NYSE,US25271C1027,DO
AAP.NYSE,US00751Y1064,AAP
ESRX.NASDAQ,US30219G1085,ESRX
FITB.NASDAQ,US3167731005,FITB
DLTR.NASDAQ,US2567461080,DLTR
SPG.NYSE,US8288061091,SPG
CI.NYSE,US1255091092,CI
BRK.B.NYSE,US0846707026,BRK.B
PHM.NYSE,US7458671010,PHM
JNPR.NYSE,US48203R1041,JNPR
AEP.NYSE,US0255371017,AEP
NEM.NYSE,US6516391066,NEM
CERN.NASDAQ,US1567821046,CERN
KO.NYSE,US1912161007,KO
O.NYSE,US7561091049,O
GIS.NYSE,US3703341046,GIS
UNM.NYSE,US91529Y1064,UNM
PBCT.NASDAQ,US7127041058,PBCT
GLW.NYSE,US2193501051,GLW
GE.NYSE,US3696041033,GE
SJM.NYSE,US8326964058,SJM
JEC.NYSE,US4698141078,JEC
XEL.NASDAQ,US98389B1008,XEL
T.NYSE,US00206R1023,T
PRGO.NYSE,IE00BGH1M568,PRGO
FOXA.NASDAQ,US90130A1016,FOXA
CMG.NYSE,US1696561059,CMG
NOC.NYSE,US6668071029,NOC
MHK.NYSE,US6081901042,MHK
MTB.NYSE,US55261F1049,MTB
PH.NYSE,US7010941042,PH
AMG.NYSE,US0082521081,AMG
NKE.NYSE,US6541061031,NKE
VRTX.NASDAQ,US92532F1003,VRTX
CAG.NYSE,US2058871029,CAG
SWK.NYSE,US8545021011,SWK
WY.NYSE,US9621661043,WY
HON.NYSE,US4385161066,HON
