id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
E,False,0.00002,0.0,True,0.00003,,fx_spot
L,False,0.00002,0.0,True,0.00003,,fx_spot
id,name
3,Options - 0.95
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
CBOE,False,0.95,0.0,True,0.0,,option
CBOE,True,0.95,0.0,True,0.0,SPX,option
CBOE,True,0.95,0.0,True,0.0,SPXPM,option
CBOE,True,0.95,0.0,True,0.0,SPXW,option
CBOE,True,0.95,0.0,True,0.0,VIX,option
CBOE,True,0.95,0.0,True,0.0,VXX,option
CBOT,False,0.95,0.0,True,0.0,,option
CBOT,True,1.5,0.0,True,0.0,OZB,option
CBOT,True,0.95,0.0,True,0.0,OZB1,option
CBOT,True,1.5,0.0,True,0.0,OZB2,option
CBOT,True,0.95,0.0,True,0.0,OZB5,option
CBOT,True,1.5,0.0,True,0.0,OZC,option
CBOT,True,1.5,0.0,True,0.0,OZL,option
CBOT,True,0.95,0.0,True,0.0,OZM,option
CBOT,True,1.5,0.0,True,0.0,OZN,option
CBOT,True,1.5,0.0,True,0.0,OZN1,option
CBOT,True,1.5,0.0,True,0.0,OZN2,option
CBOT,True,0.95,0.0,True,0.0,OZN5,option
CBOT,True,1.5,0.0,True,0.0,OZS,option
CBOT,True,0.95,0.0,True,0.0,OZW,option
CME,False,0.95,0.0,True,0.0,,option
CME,True,0.95,0.0,True,0.0,2EU,option
CME,True,0.95,0.0,True,0.0,3EU,option
CME,True,0.95,0.0,True,0.0,4EU,option
CME,True,0.95,0.0,True,0.0,6A,option
CME,True,0.95,0.0,True,0.0,6B,option
CME,True,0.95,0.0,True,0.0,6C,option
CME,True,0.95,0.0,True,0.0,6E,option
CME,True,0.95,0.0,True,0.0,6E2,option
CME,False,0.95,0.0,True,0.0,6J,option
CME,True,0.95,0.0,True,0.0,6N,option
CME,True,0.95,0.0,True,0.0,6S,option
CME,True,0.95,0.0,True,0.0,E1A,option
CME,True,0.95,0.0,True,0.0,E1C,option
CME,True,0.95,0.0,True,0.0,E2A,option
CME,True,0.95,0.0,True,0.0,E2C,option
CME,True,0.95,0.0,True,0.0,E3A,option
CME,True,0.95,0.0,True,0.0,E4A,option
CME,True,0.95,0.0,True,0.0,ES,option
CME,True,0.95,0.0,True,0.0,EUU,option
CME,True,0.95,0.0,True,0.0,EW,option
CME,True,0.95,0.0,True,0.0,EW1,option
CME,True,0.95,0.0,True,0.0,EW2,option
CME,True,0.95,0.0,True,0.0,EW3,option
CME,True,0.95,0.0,True,0.0,EW4,option
CME,True,0.95,0.0,True,0.0,GBU,option
CME,True,0.95,0.0,True,0.0,GE,option
CME,True,0.95,0.0,True,0.0,GE0,option
CME,True,0.95,0.0,True,0.0,GE2,option
CME,True,0.95,0.0,True,0.0,GE3,option
CME,True,0.95,0.0,True,0.0,GF,option
CME,True,0.95,0.0,True,0.0,JPU,option
CME,True,0.95,0.0,True,0.0,LE,option
CME,True,0.95,0.0,True,0.0,NQ,option
CME,True,0.95,0.0,True,0.0,QN1,option
CME,True,0.95,0.0,True,0.0,QN2,option
CME,True,0.95,0.0,True,0.0,QN3,option
CME,True,0.95,0.0,True,0.0,QNE,option
COMEX,False,0.95,0.0,True,0.0,,option
COMEX,True,0.95,0.0,True,0.0,HXE,option
COMEX,True,0.95,0.0,True,0.0,OG,option
COMEX,True,0.95,0.0,True,0.0,SO,option
NYMEX,False,0.95,0.0,True,0.0,,option
NYMEX,True,0.95,0.0,True,0.0,LO,option
NYMEX,True,0.95,0.0,True,0.0,LO1,option
NYMEX,True,0.95,0.0,True,0.0,LO2,option
NYMEX,True,0.95,0.0,True,0.0,LO3,option
NYMEX,True,0.95,0.0,True,0.0,LO5,option
NYMEX,True,0.95,0.0,True,0.0,OH,option
NYMEX,True,0.95,0.0,True,0.0,ON,option
id,name
5,Double comission + 50/50 rebate
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
,False,0.0009,0.0,True,0.0009,,bond
CBOE,False,2.0,0.0,True,2.0,VIX,calendar_spread
CME,False,3.0,0.0,True,3.0,6E,calendar_spread
CME,False,3.0,0.0,True,3.0,GE,calendar_spread
CME,False,3.0,0.0,True,3.0,LE,calendar_spread
CME,False,3.0,0.0,True,3.0,LH,calendar_spread
EUREX,False,3.0,0.0,True,3.0,FBTP,calendar_spread
EUREX,False,0.9,0.0,True,3.0,FGBL,calendar_spread
EUREX,False,3.0,0.0,True,3.0,FVS,calendar_spread
ICE,False,5.0,0.0,True,5.0,B,calendar_spread
ICE,False,5.0,0.0,True,5.0,T,calendar_spread
LIFFE,False,3.0,0.0,True,3.0,I,calendar_spread
LIFFE,False,3.0,0.0,True,3.0,S,calendar_spread
NYMEX,False,3.0,0.0,True,3.0,CL,calendar_spread
NYMEX,False,3.0,0.0,True,3.0,HO,calendar_spread
NYMEX,False,3.0,0.0,True,3.0,NG,calendar_spread
NYMEX,False,3.0,0.0,True,3.0,RB,calendar_spread
CFD,False,0.02,0.0,True,0.02,,cfd
,False,0.005,0.0,True,0.005,,forex
ASX,False,1.5,0.0,True,1.5,AP,future
ASX,False,1.5,0.0,True,1.5,IB,future
CBOE,False,1.5,0.0,True,1.5,,future
CBOE,False,1.5,0.0,True,1.5,VIX,future
CBOE,False,1.5,0.0,True,1.5,VXTY,future
CBOT,False,1.5,0.0,True,1.5,,future
CBOT,False,1.5,0.0,True,1.5,AW,future
CBOT,False,1.5,0.0,True,1.5,EH,future
CBOT,False,1.5,0.0,True,1.5,YM,future
CBOT,False,1.5,0.0,True,1.5,ZB,future
CBOT,False,1.5,0.0,True,1.5,ZC,future
CBOT,False,1.5,0.0,True,1.5,ZF,future
CBOT,False,1.5,0.0,True,1.5,ZL,future
CBOT,False,1.5,0.0,True,1.5,ZM,future
CBOT,False,1.5,0.0,True,1.5,ZN,future
CBOT,False,1.5,0.0,True,1.5,ZO,future
CBOT,False,1.5,0.0,True,1.5,ZQ,future
CBOT,False,1.5,0.0,True,1.5,ZR,future
CBOT,False,1.5,0.0,True,1.5,ZS,future
CBOT,False,1.5,0.0,True,1.5,ZT,future
CBOT,False,1.5,0.0,True,1.5,ZW,future
CME,False,1.5,0.0,True,1.5,,future
CME,False,1.5,0.0,True,1.5,CNH,future
CME,False,1.5,0.0,True,1.5,ES,future
CME,False,1.5,0.0,True,1.5,GE,future
CME,False,1.5,0.0,True,1.5,GF,future
CME,False,1.5,0.0,True,1.5,LBS,future
CME,False,1.5,0.0,True,1.5,LE,future
CME,False,1.5,0.0,True,1.5,LH,future
CME,False,1.5,0.0,True,1.5,NK,future
CME,False,1.5,0.0,True,1.5,NQ,future
CME,False,1.5,0.0,True,1.5,RY,future
CME,False,1.5,0.0,True,1.5,SP,future
COMEX,False,1.5,0.0,True,1.5,,future
COMEX,False,1.5,0.0,True,1.5,GC,future
COMEX,False,1.5,0.0,True,1.5,GCK,future
COMEX,False,1.5,0.0,True,1.5,HG,future
COMEX,False,1.5,0.0,True,1.5,MGC,future
COMEX,False,1.5,0.0,True,1.5,SI,future
DGCX,False,2.0,0.0,True,2.0,,future
EUREX,False,1.5,0.0,True,1.5,,future
EUREX,False,1.5,0.0,True,1.5,CONF,future
EUREX,False,1.5,0.0,True,1.5,FBON,future
EUREX,False,1.5,0.0,True,1.5,FBTP,future
