EXANTEId,contractMultiplier
RU000A0JV7J9.RUB,1000.0
XS0783242877.USD,1.0
XS0620695204.USD,1.0
XS0864383723.USD,1.0
XS1298447019.USD,1.0
XS1506500039.USD,1000.0
XS1086084123.USD,1000.0
XS1042215480.USD,1000.0
XS0851672435.USD,1000.0
XS0461926569.USD,1000.0
XS0424860947.USD,1000.0
RU000A0JS4Z7.RUB,1000.0
RU000A0JXPH0.RUB,1000.0
RU000A0JTX09.RUB,1000.0
RU000A0JQZ67.RUB,76.96
RU000A0JSVD7.RUB,400.0
RU000A0JW3R0.RUB,1000.0
XS1143363940.RUB,100000.0
RU000A0JUK84.RUB,1000.0
RU000A0JWDN6.RUB,1000.0
RU000A0JVEY3.RUB,1000.0
RU000A0JWP46.RUB,1000.0
RU000A0JVPQ5.RUB,1000.0
RU000A0JVPP7.RUB,1000.0
RU000A0JVPN2.RUB,1000.0
RU000A0JWYW3.RUB,1000.0
RU000A0JWEK0.RUB,668.0
RU000A0JWKL5.RUB,1000.0
RU000A0JWWG0.RUB,1000.0
RU000A0JW2T8.RUB,1000.0
RU000A0JVCK6.RUB,286.0
RU000A0JW1P8.RUB,1000.0
RU000A0JVWJ6.RUB,1000.0
RU000A0JVA10.RUB,1000.0
RU000A0JTKM9.RUB,1000.0
RU000A0JTKB2.RUB,1000.0
RU000A0JWCW9.RUB,1000.0
RU000A0JWLX8.RUB,1000.0
RU000A0JWQ45.RUB,1000.0
RU000A0JWQX7.RUB,1000.0
RU000A0JWLJ7.RUB,1000.0
RU000A0JW4N7.RUB,1000.0
RU000A0JVGH3.RUB,1000.0
RU000A0JVBJ0.RUB,1000.0
RU000A0JV3B5.RUB,1000.0
RU000A0JU5G0.RUB,1000.0
RU000A0JTFC0.RUB,1000.0
RU000A0JWKY8.RUB,1000.0
RU000A0JWX95.RUB,1000.0
RU000A0JWK66.RUB,1000.0
RU000A0JWYK8.RUB,1000.0
RU000A0JWEC7.RUB,1000.0
RU000A0JWEU9.RUB,1000.0
RU000A0JUVG6.RUB,1000.0
RU000A0JUVF8.RUB,1000.0
RU000A0JSGV0.RUB,1000.0
RU000A0JVBY9.RUB,1000.0
RU000A0JV0U1.RUB,1000.0
RU000A0JUNM1.RUB,1000.0
RU000A0JWHT4.RUB,1000.0
RU000A0JV8D0.RUB,1000.0
RU000A0JVBS1.RUB,1000.0
RU000A0JVCA7.RUB,1000.0
RU000A0JUFQ8.RUB,1000.0
RU000A0JVVL4.RUB,1000.0
RU000A0JU2F9.RUB,1000.0
XS0935311240.RUB,1000.0
RU000A0JTVT1.RUB,83.7
RU000A0JUA94.RUB,333.6
RU000A0JU7L6.RUB,500.0
RU000A0JTGF1.RUB,750.0
RU000A0JVV49.RUB,1000.0
RU000A0JU8Q3.RUB,800.0
RU000A0JRHN7.RUB,500.0
RU000A0JTMJ1.RUB,1000.0
RU000A0JRUY7.RUB,1000.0
RU000A0JRBU5.RUB,76.92
RU000A0JTG34.RUB,350.0
RU000A0JTVM6.RUB,1000.0
RU000A0JRB31.RUB,334.0
RU000A0JTP33.RUB,1000.0
RU000A0JTQU9.RUB,1000.0
RU000A0JUAX5.RUB,1000.0
RU000A0JU8R1.RUB,1000.0
RU000A0JVFX2.RUB,1000.0
RU000A0JVFS2.RUB,1000.0
RU000A0JUV08.RUB,1000.0
RU000A0JVUP7.RUB,1000.0
RU000A0JVMD0.RUB,1000.0
RU000A0JTZK1.RUB,900.0
RU000A0JRJF9.RUB,200.0
RU000A0JVYF0.RUB,1000.0
RU000A0JUAC9.RUB,650.0
RU000A0JTKN7.RUB,1000.0
RU000A0JU674.RUB,800.0
RU000A0JU7E1.RUB,1000.0
RU000A0JQ656.RUB,1000.0
RU000A0JUAL0.RUB,1000.0
RU000A0JUAK2.RUB,1000.0
RU000A0JVVS9.RUB,1000.0
RU000A0JTYN8.RUB,1000.0
RU000A0JSQP1.RUB,1000.0
RU000A0JTRA9.RUB,1000.0
RU000A0JTR98.RUB,1000.0
RU000A0JU1Y2.RUB,1000.0
RU000A0JT403.RUB,1000.0
RU000A0JNPK5.RUB,300.0
RU000A0JTKL1.RUB,1000.0
RU000A0JTP09.RUB,1000.0
RU000A0JR852.RUB,1000.0
RU000A0JVD25.RUB,1000.0
RU000A0JRFN1.RUB,1000.0
RU000A0JUV32.RUB,1000.0
RU000A0JTYB3.RUB,850.0
RU000A0JQ1H3.RUB,1000.0
RU000A0JTQS3.RUB,1000.0
RU000A0JTP41.RUB,1000.0
RU000A0JTW83.RUB,1000.0
RU000A0JQ672.RUB,76.96
RU000A0JPZ84.RUB,76.96
RU000A0JQVD1.RUB,1.0
RU000A0JTND2.RUB,1000.0
RU000A0JQ8V9.RUB,1000.0
RU000A0JR0K8.RUB,1000.0
RU000A0JR0J0.RUB,1000.0
RU000A0JR8L9.RUB,1000.0
RU000A0JR8P0.RUB,1000.0
RU000A0JRJS2.RUB,1000.0
RU000A0JRJT0.RUB,1000.0
RU000A0JRJY0.RUB,1000.0
XS0564087541.RUB,5000000.0
SU25081RMFS9_1.RUB,1.0
SU26218RMFS6.RUB,1000.0
SU26207RMFS9.RUB,1000.0
SU52001RMFS3.RUB,1000.0
SU48001RMFS0.RUB,200.0
SU46023RMFS6.RUB,900.0
SU46022RMFS8.RUB,1000.0
SU46021RMFS0.RUB,1000.0
SU46020RMFS2.RUB,1000.0
SU46019RMFS4.RUB,400.0
SU46017RMFS8.RUB,500.0
SU46014RMFS5.RUB,500.0
SU29011RMFS2.RUB,1000.0
SU29010RMFS4.RUB,1000.0
SU29009RMFS6.RUB,1000.0
SU29008RMFS8.RUB,1000.0
SU29007RMFS0.RUB,1000.0
SU29006RMFS2.RUB,1000.0
SU26216RMFS0.RUB,1000.0
SU26215RMFS2.RUB,1000.0
SU26214RMFS5.RUB,1000.0
SU26212RMFS9.RUB,1000.0
SU26211RMFS1.RUB,1000.0
SU26210RMFS3.RUB,1.0
SU26209RMFS5.RUB,1000.0
SU26208RMFS7.RUB,1000.0
SU26206RMFS1.RUB,1000.0
SU26204RMFS6.RUB,1000.0
SU26203RMFS8.RUB,1000.0
SU25082RMFS7.RUB,1000.0
SU25081RMFS9.RUB,1000.0
SU25080RMFS1.RUB,1000.0
SU25077RMFS7.RUB,1000.0
SU24018RMFS2.RUB,1000.0
SU26205RMFS3.RUB,1000.0
