Ticker;Company Name;ISIN Code;CUSIP Number
AAPL;Apple Inc.;US0378331005;369604103
ACN;Accenture plc;IE00B4BNMY34;23135106
AMG;Affiliated Managers Group;US0082521081;91324P102
AMT;American Tower Corp.;US03027X1000;02209S103
ANTM;Anthem Inc.;US0367521038;00BTN1Y11
BBBY;Bed Bath & Beyond;US0758961009;913017109
BK;BNY Mellon;US0640581007;00B4BNMY3
BRK.B;Berkshire Hathaway;US0846707026;539830109
CAH;Cardinal Health Inc.;US14149Y1082;49456B101
CSC;Computer Sciences Corp.;US2053631048;501044101
DE;Deere & Co.;US2441991054;12572Q105
DLTR;Dollar Tree;US2567461080;291011104
ETFC;E*Trade Financial Corp.;US2692464017;9158106
ETN;Eaton Corporation;IE00B8KQN827;693506107
FLS;Flowserve Corporation;US34354P1057;57224107
FMC;FMC Corporation;US3024913036;816851109
FOSL;Fossil, Inc.;US34988V1061;00B783TY6
INTU;Intuit Inc.;US4612021034;2,82E+112
LUK;Leucadia National Corp.;US5272881047;655044105
NAVI;Navient;US63938C1080;774341101
NDAQ;NASDAQ OMX Group;US6311031081;832696405
NFX;Newfield Exploration Co.;US6512901082;756109104
NLSN;Nielsen Holdings;GB00BWFY5505;78440X101
NOC;Northrop Grumman Corp.;US6668071029;19122T109
NWSA;News Corp Class A;US65249B1098;35671D857
PCG;PG&E Corp.;US69331C1080;655664100
PFE;Pfizer Inc.;US7170811035;48203R104
PFG;Principal Financial Group;US74251V1026;959802109
POM;Pepco Holdings Inc.;US7132911022;98310W108
PRGO;Perrigo;IE00BGH1M568;446150104
R;Ryder System;US7835491082;58498106
ROP;Roper Industries;US7766961061;315616102
SBAC;SBA Communications Corp Class A;US78388J1060;80589M102
SCHW;Charles Schwab Corp.;US8085131055;15189T107
STJ;St. Jude Medical, Inc.;US7908491035;25470F302
SWKS;Skyworks Solutions Inc.;US83088M1027;527288104
TAP;Molson Coors Brewing Co.;US60871R2094;445658107
TMO;Thermo Fisher Scientific;US8835561023;00BFRT3W7
TSS;Total System Services;US8919061098;04621X108
TWC;Time Warner Cable Inc.;US88732J2078;629377508
VIAB;Viacom Inc.;US92553P2011;626717102
VLO;Valero Energy;US91913Y1001;25470F104
VOD;Vodafone Group;US92857W3088;783549108
ADBE;Adobe Systems Inc.;US00724F1012;00206R102
AEE;Ameren Corp.;US0236081024;254687106
BHI;Baker Hughes Inc;US0572241075;741503403
CCL;Carnival Corp.;PA1436583006;693475105
CF;CF Industries Holdings Inc.;US1252691001;64110L106
CMCSA;Comcast Class A Comm.;US20030N1019;14040H105
CMI;Cummins Inc.;US2310211063;494368103
DOW;Dow Chemical;US2605431038;25537101
DTE;DTE Energy Co.;US2333311072;75887109
DUK;Duke Energy;US26441C2044;857477103
F;Ford Motor;US3453708600;918204108
FE;FirstEnergy Corp;US3379321074;254709108
